"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"gravity wave","4","3","GCMD | Global Change Master Directory (GCMD) | SWEET | Semantic Web for Earth and Environment Technology Ontology","A wave disturbance in which buoyancy (or reduced gravity) acts as the restoring force on parcels displaced from hydrostatic equilibrium. ;; A wave disturbance in which buoyancy acts as the restoring force on parcels displaced from hydrostatic equilibrium. ;; A wave disturbance in which buoyancy acts as the restoring force onparcels displaced from hydrostatic equilibrium.","['gravity wave', 'GRAVITY WAVE', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC PRESSURE -> GRAVITY WAVE', 'Oscillation -> wave -> fluid wave -> gravity wave']"
"solar flux","4","1","GCMD | Global Change Master Directory (GCMD) | SWEET | Semantic Web for Earth and Environment Technology Ontology","Refers to the intensity of energy emitted by the Sun, which can be harnessed for various applications such as solar sails, solar thermal propulsion, and electric power generation. The flux decreases as the distance from the Sun increases, following the inverse square law.","['solar flux', 'SOLAR FLUX', 'EARTH SCIENCE -> CLIMATE INDICATORS -> SUN-EARTH INTERACTIONS -> SUNSPOT ACTIVITY -> SOLAR FLUX', 'Flux -> energy flux -> radiative flux -> solar flux | Flux -> flux density -> radiative forcing -> radiative flux -> solar flux']"
"ring current","4","2","AGU Index Terms | SPASE Dictionary | Space Weather Glossary | Unified Astronomy Thesaurus (UAT)","One of the major current systems confinedwithin planetary magnetospheres. The ring current circles in the magneticequatorial plane of magnetospheres. It is generated by the longitudinaldrift of energetic charged particles trapped on inner, dipole-likemagnetospheric field lines. At the Earth, the ring current is carried by 10to 200 keV charged particles typically located at L-shells between 3 and 6.The ring current is also the primary driver of the Sym H and Dst Indices ofmagnetic storm activity at the Earth. ;; In the magnetosphere, a region of current that flows from east to west in a disk-shaped region near the geomagnetic equator in the outer of the Van Allen radiation belts. The current is produced by the gradient and curvature drift of the trapped charged particles. The ring current is greatly augmented during magnetic storms because of the hot plasma injected from the magnetotail. This increase in the ring current causes a worldwide depression of the horizontal geomagnetic field during a magnetic storm.","['RingCurrent', 'ring current', 'Ring current', 'Heliophysics -> Solar-planetary interactions -> Planetary magnetospheres -> Inner magnetosphere -> Ring current']"
"aurorae","4","3","AGU Index Terms | GCMD | Global Change Master Directory (GCMD) | Unified Astronomy Thesaurus (UAT)","A phenomenon consisting of luminous colorful arcs, rays, and streamers that appear in a planet's upper atmosphere during the night with the greatest frequency in the northern and southern polar magnetic zones. This non-thermal radiation is caused by the emission of light from atoms excited by electrons accelerated along the planet's magnetic field lines at the magnetic poles. Fluorescent emission from atomic oxygen at 5557 Å results in a greenish glow, and there is a weaker effect from the red line at 6300 Å. Blue and purple colors are emitted by atomic and molecular nitrogen. ;; A faint visual phenomenon associated with geomagnetic activity, which occurs mainly in the high-latitude night sky. Typical auroras are 100 to 250 km above the ground. The phenomenon caused by collisions between charged particles, atoms, and ions in the Earths ionosphere and upper atmosphere. ;; A faint visual phenomenon associated with geomagnetic activity, which occurs mainly in the high-latitude night sky. Typical auroras are 100 to 250 km above the ground. The phenomenon caused by collisions between charged particles, atoms, and ions in the Earth's ionosphere and upper atmosphere.","['Aurorae', 'AURORAE', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> IONOSPHERE/MAGNETOSPHERE DYNAMICS -> AURORAE']"
"solar wind extreme","4","2","HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","Intervals of unusually large or small values of solar wind attributes such as flow speed and ion density. (spase) ;; Intervals of unusually large or small valuesof solar wind attributes such as flow speed and ion density.","['SolarWindExtreme', 'solar wind extreme', 'Phenomena -> interplanetary phenomena -> solar wind extreme']"
"population dynamics","4","3","GCMD | GEMET | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Population dynamics is the study of the reasons for changes in population size. ;; The process of numerical and structural change within populations resulting from births, deaths, and movements. ;; Population dynamics is the study of the reasons for changes in populationsize.","['population dynamics', 'POPULATION DYNAMICS', 'Population Dynamics', 'EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> POPULATION DYNAMICS']"
"precipitation","4","3","AGU Index Terms | GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","All liquid or solid phase aqueous particles that originate in the atmosphere and fall to the earths surface. ;; All liquid or solid phase aqueous particles that originate in the atmosphere and fall to the earth's surface. ;; All hydrometeors formed in the atmosphere, including liquid, solid, or a combination of the two (e.g., resulting from incomplete melting or freezing or from accretion), that are large enough to fall as a result of gravity.","['precipitation', 'Precipitation', 'PRECIPITATION', 'EARTH SCIENCE -> CRYOSPHERE -> SNOW/ICE -> SNOW VOLUME BUDGET -> PRECIPITATION', 'EARTH SCIENCE -> OCEANS -> PRECIPITATION']"
"radiative flux","4","1","GCMD | Global Change Master Directory (GCMD) | SWEET | Semantic Web for Earth and Environment Technology Ontology","The amount of radiation incident on a given surface per unit time.","['radiative flux', 'RADIATIVE FLUX', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC RADIATION -> RADIATIVE FLUX', 'Flux -> energy flux -> radiative flux | Flux -> flux density -> radiative forcing -> radiative flux']"
"bow shock crossing","4","2","HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","A crossing of the boundary between the undisturbed (except for foreshock effects) solar wind and the shocked, decelerated solar wind of the magnetosheath. (spase) ;; A crossing of the boundary between theundisturbed (except for foreshock effects) solar wind and the shocked,decelerated solar wind of the magnetosheath.","['BowShockCrossing', 'bow shock crossing', 'Phenomena -> heliospheric phenomena -> bow shock crossing']"
"image processing","4","3","AGU Index Terms | GCMD | GEMET | Global Change Master Directory (GCMD)","Visualization / Image Processing services are defined as Data Analysis and Visualization Services that allow the user to view (Visualization) and/or manipulate (Image Processing) Earth Science data in a graphical (rather than numerical) format. These services may or may not include the ability for a user to view and/or manipulate data in a non-graphical (e.g., numerical) format, however, this ability would not be the primary method of operation of the service. EXAMPLES: XV, GhostScript, ERDAS IMAGINE, Adobe PhotoShop. ;; The process of converting 'raw' remotely sensed data into a usable form through the application of various transformations such as supervised and unsupervised classification schemes. ;; Visualization / Image Processing services are defined as Data Analysis and Visualization Services that allow the user to view (Visualization) and/or manipulate (Image Processing) Earth Science data in a graphical (rather than numerical) format. These services may or may not include the ability for a user to view and/or manipulate data in a non-graphical (e.g., numerical) format, however, this ability would not be the primary method of operation of the service. EXAMPLES:XV, GhostScript, ERDAS IMAGINE, Adobe PhotoShop.","['Image processing', 'IMAGE PROCESSING', 'image processing', 'EARTH SCIENCE SERVICES -> DATA ANALYSIS AND VISUALIZATION -> IMAGE PROCESSING']"
"radiation belts","4","2","AGU Index Terms | NASA Heliophysics Vocabulary | Space Weather Glossary | Space Weather Glossary (Second)","Two belts of radiation that surround Earth, also known as the Van Allen Belts. These two concentric donut-shaped regions are filled with high-energy particles from the sun and Earth's ionosphere that gyrate, bounce and drift, sometimes shooting down into Earth's atmosphere, sometimes escaping out into space. The inner belt is fairly stable; however, the outer belt can swell and shrink over time, sometimes inflating so much that the belts appear as one. ;; Regions of the magnetosphere roughly 1.2 to 6 Earth radii above the equator in which charged particles are stably trapped by closed geomagnetic field lines. There are two belts. The inner belt is part of the plasmasphere and corotates with the Earth; its maximum proton density lies near 5000 km. Inner belt protons are mostly high energy (10-50 MeV range) and originate from the decay of secondary neutrons created during collisions between cosmic rays and upper atmospheric particles. The outer belt extends on to the magnetopause on the sunward side. The altitude of maximum proton density is near 16,000-20,000 km. Outer belt protons are lower energy (about 200 eV to 1 MeV) and come from the solar wind. The outer belt is also characterized by highly variable fluxes of energetic electrons. The radiation belts are often called the ”Van Allen radiation belts” because they were discovered in 1968 by a research group at the University of Iowa led by Professor J. A. Van Allen.","['Radiation Belts', 'radiation belts', 'Radiation belts']"
"coronal mass ejections","4","2","AGU Index Terms | GCMD | Global Change Master Directory (GCMD) | Space Weather Glossary (Second)","Coronal mass ejection (CME) is a huge cloud of hot plasma, occasionally expelled from the Sun. It may accelerate ions and electrons and may travel through interplanetary space as far as the Earth¿s orbit and beyond it, often preceded by a shock front. When the shock reaches Earth, a magnetic storm may result. ;; Coronal mass ejection (CME) is a huge cloud of hot plasma, occasionallyexpelled from the Sun. It may accelerate ions and electrons and may travelthrough interplanetary space as far as the Earth¿s orbit and beyond it, oftenpreceded by a shock front. When the shock reaches Earth, a magnetic storm mayresult.","['Coronal Mass Ejections', 'Coronal mass ejections', 'CORONAL MASS EJECTIONS', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ACTIVITY -> CORONAL MASS EJECTIONS']"
"energy flux","4","2","HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","The amount of energy passing through a unit area in a unit time. ;; The amount of energy passing through a unitarea in a unit time.","['EnergyFlux', 'energy flux', 'Flux -> energy flux']"
"turbulence","4","4","AGU Index Terms | GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Irregular fluctuations occurring in fluid motions. ;; Random and continuously changing air motions that are superposed on the mean motion of the air. ;; Highly disordered flow in fluids, a source of energy for the mixing ofwater masses. ;; A state of fluid (wind) flow in which the instantaneous (wind)velocities exhibit irregular and apparently random fluctuations so that inpractice only statistical properties can be recognized and subjected toanalysis. </U></B>","['turbulence', 'Turbulence', 'TURBULENCE', 'EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> TURBULENCE', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> TURBULENCE', 'EARTH SCIENCE -> OCEANS -> OCEAN WINDS -> TURBULENCE']"
